JAHR;EINRICHTUNGSTYP;ALTERSKLASSE;WOHNUNGSTYP;JAHR_1_NACH_ERSTELLUNG;JAHR_2_NACH_ERSTELLUNG;JAHR_3_NACH_ERSTELLUNG;JAHR_4_NACH_ERSTELLUNG;JAHR_5_NACH_ERSTELLUNG;JAHR_6_NACH_ERSTELLUNG;JAHR_7_NACH_ERSTELLUNG;JAHR_8_NACH_ERSTELLUNG;JAHR_9_NACH_ERSTELLUNG;JAHR_10_NACH_ERSTELLUNG
2022;Kinderkrippe;0-2;Ein- und Zweifamilienhäuser;0.2695;0.2445;0.2052;0.1758;0.1329;0.1102;0.1071;0.0821;0.0675;0.0584
2022;Kinderkrippe;0-2;Wohneinheiten im MünchenModell;0.3447;0.2795;0.2236;0.1848;0.1591;0.1432;0.1289;0.116;0.1044;0.0939
2022;Kinderkrippe;0-2;geförderter Mietwohnungsbau;0.2781;0.2225;0.1691;0.1634;0.1442;0.1318;0.1166;0.1057;0.096;0.0877
2022;Kinderkrippe;0-2;freifinanzierter Geschosswohnungsbau;0.142;0.1389;0.1361;0.1293;0.1235;0.1179;0.1138;0.1092;0.109;0.1045
2022;Kindergarten;3-6,5;Ein- und Zweifamilienhäuser;0.3653;0.3862;0.3787;0.3314;0.2995;0.2553;0.2156;0.1744;0.1521;0.1311
2022;Kindergarten;3-6,5;Wohneinheiten im MünchenModell;0.4242;0.4548;0.4439;0.3962;0.3314;0.2669;0.2192;0.1861;0.1641;0.1477
2022;Kindergarten;3-6,5;geförderter Mietwohnungsbau;0.3154;0.3411;0.3642;0.3216;0.2719;0.2217;0.1938;0.1727;0.1596;0.1433
2022;Kindergarten;3-6,5;freifinanzierter Geschosswohnungsbau;0.1243;0.1366;0.1447;0.1438;0.136;0.1289;0.1219;0.117;0.1123;0.1062
2022;Kinderhort;6,5-9,5;Ein- und Zweifamilienhäuser;0.2917;0.3152;0.3438;0.3823;0.4062;0.4231;0.4077;0.3643;0.3222;0.2746
2022;Kinderhort;6,5-9,5;Wohneinheiten im MünchenModell;0.2807;0.3155;0.3665;0.4223;0.4636;0.4813;0.4604;0.407;0.3392;0.2757
2022;Kinderhort;6,5-9,5;geförderter Mietwohnungsbau;0.2628;0.2905;0.3163;0.3341;0.3551;0.3777;0.3717;0.3314;0.2857;0.2361
2022;Kinderhort;6,5-9,5;freifinanzierter Geschosswohnungsbau;0.0854;0.0978;0.1074;0.1187;0.1297;0.1356;0.1365;0.1318;0.1267;0.1211
2022;Grundschule;6,5-9,5;Ein- und Zweifamilienhäuser;0.2917;0.3152;0.3438;0.3823;0.4062;0.4231;0.4077;0.3643;0.3222;0.2746
2022;Grundschule;6,5-9,5;Wohneinheiten im MünchenModell;0.2807;0.3155;0.3665;0.4223;0.4636;0.4813;0.4604;0.407;0.3392;0.2757
2022;Grundschule;6,5-9,5;geförderter Mietwohnungsbau;0.2628;0.2905;0.3163;0.3341;0.3551;0.3777;0.3717;0.3314;0.2857;0.2361
2022;Grundschule;6,5-9,5;freifinanzierter Geschosswohnungsbau;0.0854;0.0978;0.1074;0.1187;0.1297;0.1356;0.1365;0.1318;0.1267;0.1211
2022;N.N.;alle EWO;Ein- und Zweifamilienhäuser;3.4345;3.5312;3.5619;3.5721;3.5861;3.5876;3.58;3.5472;3.5241;3.518
2022;N.N.;alle EWO;Wohneinheiten im MünchenModell;3.4454;3.3937;3.3428;3.2927;3.2433;3.1946;3.1467;3.0995;3.053;3.0072
2022;N.N.;alle EWO;geförderter Mietwohnungsbau;2.9966;3.045;3.075;3.1017;3.1023;3.1152;3.131;3.1183;3.1266;3.1199
2022;N.N.;alle EWO;freifinanzierter Geschosswohnungsbau;2.0202;2.1007;2.14;2.1687;2.185;2.2015;2.2153;2.2198;2.23;2.2349
